Time measured,Instantan lufttemperatur i 2m høyde  (TT),Vindhastighet i 2m 60 min middel (FM2),Globalstråling (Q0)
2019-01-19 06:00:00+01,0.0,1.3,0.0
2019-01-19 07:00:00+01,0.2,1.7,0.0
2019-01-19 08:00:00+01,0.0,1.8,0.3
2019-01-19 09:00:00+01,-0.3,1.2,9.7
2019-01-19 10:00:00+01,0.3,1.4,25.2
2019-01-19 11:00:00+01,1.1,2.3,37.0
2019-01-19 12:00:00+01,2.0,1.9,53.7
2019-01-19 13:00:00+01,2.1,2.6,156.0
2019-01-19 14:00:00+01,1.8,2.3,89.0
2019-01-19 15:00:00+01,1.2,2.1,35.1
2019-01-19 16:00:00+01,1.0,1.2,0.0
2019-01-19 17:00:00+01,0.2,1.1,0.0
2019-01-19 18:00:00+01,0.4,0.9,0.0
2019-01-19 19:00:00+01,-5.1,0.3,0.0
2019-01-19 20:00:00+01,-6.0,0.3,0.0
2019-01-19 21:00:00+01,-5.8,0.3,0.0
2019-01-19 22:00:00+01,-5.6,0.2,0.0
2019-01-19 23:00:00+01,-4.3,0.4,0.0
2019-01-20 00:00:00+01,-4.3,0.5,0.0
2019-01-20 01:00:00+01,-5.6,0.1,0.0
2019-01-20 02:00:00+01,-5.7,0.1,0.0
2019-01-20 03:00:00+01,-7.1,0.1,0.0
2019-01-20 04:00:00+01,-8.9,0.2,0.0
2019-01-20 05:00:00+01,-8.7,0.1,0.0
2019-01-20 06:00:00+01,-8.5,0.3,0.0
2019-01-20 07:00:00+01,-10.4,0.1,0.0
2019-01-20 08:00:00+01,-11.9,0.2,0.0
2019-01-20 09:00:00+01,-11.5,0.1,23.9
2019-01-20 10:00:00+01,-9.9,0.6,74.9
2019-01-20 11:00:00+01,-6.9,0.2,121.3
2019-01-20 12:00:00+01,-5.8,0.3,156.7
2019-01-20 13:00:00+01,-4.4,0.5,133.1
2019-01-20 14:00:00+01,-5.8,0.3,70.4
2019-01-20 15:00:00+01,-5.5,0.1,14.7
2019-01-20 16:00:00+01,-5.6,0.2,0.5
2019-01-20 17:00:00+01,-7.9,0.1,0.0
2019-01-20 18:00:00+01,-6.8,0.2,0.0
2019-01-20 19:00:00+01,-6.0,0.1,0.0
2019-01-20 20:00:00+01,-5.6,0.2,0.0
2019-01-20 21:00:00+01,-5.8,0.1,0.0
2019-01-20 22:00:00+01,-5.0,0.6,0.0
2019-01-20 23:00:00+01,-4.0,0.4,0.0
2019-01-21 00:00:00+01,-3.3,0.5,0.0
2019-01-21 01:00:00+01,-4.3,0.1,0.0
2019-01-21 02:00:00+01,-4.7,0.5,0.0
2019-01-21 03:00:00+01,-4.2,0.6,0.0
2019-01-21 04:00:00+01,-4.2,0.4,0.0
2019-01-21 05:00:00+01,-4.2,0.2,0.0
2019-01-21 06:00:00+01,-4.1,0.3,0.0
2019-01-21 07:00:00+01,-4.4,0.7,0.0
2019-01-21 08:00:00+01,-4.4,0.6,0.6
2019-01-21 09:00:00+01,-4.2,0.7,9.4
2019-01-21 10:00:00+01,-4.0,0.6,30.2
2019-01-21 11:00:00+01,-3.8,0.8,46.9
2019-01-21 12:00:00+01,-3.6,0.6,84.0
2019-01-21 13:00:00+01,-3.4,0.8,112.5
2019-01-21 14:00:00+01,-4.8,0.7,40.3
2019-01-21 15:00:00+01,-5.5,0.5,42.2
